letter	frequency
el	0.001230
en	0.317487
zh	0.000703
vi	0.000527
it	0.005185
iw	0.000439
cy	0.000439
ar	0.091740
in	0.043058
et	0.001757
es	0.078998
ru	0.057909
sr	0.000176
nl	0.002724
pt	0.018014
no	0.000703
tr	0.022320
ne	0.000264
lv	0.000527
lt	0.000439
th	0.013181
ro	0.000176
pl	0.001230
fr	0.013181
bg	0.000791
hr	0.000176
bn	0.000264
de	0.003515
ht	0.001494
da	0.000615
fa	0.000351
hi	0.000967
bs	0.000351
fi	0.001054
hu	0.000264
ja	0.240334
tl	0.009490
ml	0.000176
ko	0.020826
sv	0.000967
ur	0.000264
sk	0.001054
und	0.042179
uk	0.001757
sl	0.000703
